,,
Eric Decker,WR,NE
Virgil Green,TE,LAC
Tyrod Taylor,QB,CLE
Luke Willson,TE,DET
Spencer Ware,RB,KC
J.J. Nelson,WR,ARI
Chester Rogers,WR,IND
Kenneth Dixon,RB,BAL
Trent Taylor,WR,SF
Christian Kirk,WR,ARI
Jake Butt,TE,DEN
Taywan Taylor,WR,TEN
Kendall Wright,WR,MIN
Ed Dickson,TE,SEA
Wayne Gallman,RB,NYG
Jesse James,TE,PIT
James Washington,WR,PIT
TreQuan Smith,WR,NO
Ryan Griffin,TE,HOU
Garrett Celek,TE,SF
Tavon Austin,WR,DAL
Brice Butler,WR,ARI
Joe Flacco,QB,BAL
Tyler Higbee,TE,LAR
Adam Humphries,WR,TB
Taylor Gabriel,WR,CHI
Chase Edmonds,RB,ARI
